KEGG Gene ID	KEGG Pathway ID
10892	hsa04064|hsa04625|hsa04660|hsa04662|hsa05131|hsa05152
10893	hsa04928
10898	hsa03015|hsa05164
109	hsa00230|hsa01100|hsa01522|hsa04015|hsa04020|hsa04022|hsa04024|hsa04062|hsa04072|hsa04114|hsa04211|hsa04213|hsa04261|hsa04270|hsa04371|hsa04540|hsa04611|hsa04713|hsa04714|hsa04723|hsa04724|hsa04725|hsa04727|hsa04740|hsa04750|hsa04911|hsa04912|hsa04913|hsa04914|hsa04915|hsa04916|hsa04918|hsa04921|hsa04923|hsa04925|hsa04926|hsa04927|hsa04928|hsa04934|hsa04935|hsa04962|hsa04970|hsa04971|hsa04972|hsa04976|hsa05032|hsa05110|hsa05163|hsa05166|hsa05200|hsa05207|hsa05414
10901	hsa00830|hsa01100|hsa04146
10905	hsa00510|hsa00513|hsa01100|hsa04141
10907	hsa03040
10908	hsa00564
10910	hsa04621
10911	hsa04080
10912	hsa04010|hsa04064|hsa04068|hsa04110|hsa04115|hsa04210|hsa04218|hsa05169|hsa05200|hsa05202|hsa05210|hsa05212|hsa05213|hsa05214|hsa05216|hsa05217|hsa05218|hsa05220|hsa05222|hsa05223|hsa05224|hsa05225|hsa05226
10913	hsa04060|hsa04064
10914	hsa03015
10915	hsa03040
10919	hsa00310|hsa01100|hsa04211
10921	hsa03013|hsa03015
10926	hsa04110
10928	hsa04014|hsa05200|hsa05212
10929	hsa03040|hsa05168
10938	hsa04144
10939	hsa05017
10940	hsa03008
10941	hsa00040|hsa00053|hsa00140|hsa00830|hsa00860|hsa00980|hsa00982|hsa00983|hsa01100|hsa01240|hsa04976|hsa05204|hsa05207
10945	hsa05110
10946	hsa03040
10947	hsa04142
10948	hsa04979
10950	hsa03018
10952	hsa03060|hsa04141|hsa04145|hsa05110
10955	hsa03250
10956	hsa04141
10960	hsa04141
10961	hsa04141
109617015	hsa03008
10963	hsa05020
10965	hsa00062|hsa01040|hsa01100|hsa04913
10970	hsa04141
109703458	hsa00061|hsa01100|hsa01212
10971	hsa04110|hsa04114|hsa04151|hsa04390|hsa05160|hsa05161|hsa05203
10972	hsa05130
10975	hsa00190|hsa01100|hsa04260|hsa04714|hsa04932|hsa05010|hsa05012|hsa05014|hsa05016|hsa05020|hsa05022|hsa05208|hsa05415
10978	hsa03015
109864274	hsa03008|hsa03010
109864281	hsa03008|hsa03010
10990	hsa04380|hsa04662
10991	hsa04724|hsa04727|hsa04964
109910381	hsa03008|hsa03010
10992	hsa03040
10993	hsa00260|hsa00270|hsa00290|hsa01100|hsa01200|hsa01230
10998	hsa00120|hsa01100|hsa03320|hsa04931|hsa04976
10999	hsa03320|hsa04931|hsa04975
11000	hsa04931
11001	hsa03320|hsa04146|hsa04931
11006	hsa04380|hsa04662
11009	hsa04060|hsa04061|hsa04630
1101	hsa04151|hsa04510|hsa04512|hsa05165
11014	hsa05110
11015	hsa05110
11017	hsa03040
11019	hsa00785|hsa01100|hsa01240
11021	hsa04144
11024	hsa04380|hsa04662
11025	hsa04380|hsa04662
11026	hsa04380|hsa04662
11027	hsa04380|hsa04662
1103	hsa00564|hsa04725
11031	hsa04144
11035	hsa04217|hsa04621|hsa04623|hsa04668|hsa05132
11036	hsa03022|hsa05203
11040	hsa05200|hsa05221
11041	hsa00515|hsa01100
11044	hsa03018
11047	hsa03050|hsa05010|hsa05012|hsa05014|hsa05016|hsa05017|hsa05020|hsa05022|hsa05169
11051	hsa03015
11052	hsa03015|hsa03250
11059	hsa04120|hsa04144
11060	hsa04120
11065	hsa04120
11069	hsa04015|hsa04024|hsa04072|hsa04261|hsa04670|hsa04911
11073	hsa03440
1108	hsa05165|hsa05203
1109	hsa00120|hsa00140|hsa01100|hsa05208
11091	hsa04934
11097	hsa03013
